Marion Island,PB1,PB1_1B,ACE_ITRAX_16645,18.3,58.3,58.3,0.05,1402.98,2869.58,2096.07,2101.6,0.0265,6.74,1,TRUE,18045,78434,1.33,10,21,32,31,20,17,138,2415,3187,148,33,352,44694,248,179,68,46,0,60,672,58,1762,0,661,0,23,0,34,118,43,52,18518,4274,0,22792,4.332709406,0.230802462,3.78,3.98,105.16
Marion Island,PB1,PB1_1B,ACE_ITRAX_16646,18.4,58.4,58.4,0.05,1403.68,2875.66,2100.65,2105.39,0.0264,6.74,1,TRUE,18266,79958,1.39,33,37,23,14,0,0,104,2293,3425,128,71,302,45063,208,225,99,154,0,43,832,65,2037,0,903,0,0,0,40,58,40,18,18378,4777,114,23155,3.847184425,0.259930352,3.79,3.39,89.45
Marion Island,PB1,PB1_1B,ACE_ITRAX_16647,18.5,58.5,58.5,0.05,1405.7,2881.83,2104.01,2109.17,0.0265,6.75,1,TRUE,18170,73446,1.46,0,32,27,7,12,5,57,1435,3220,155,76,280,38512,254,194,76,117,0,48,904,70,2031,0,786,0,13,0,16,111,0,0,19851,4587,30,24438,4.327665141,0.231071483,3.78,4.1,108.33
Marion Island,PB1,PB1_1B,ACE_ITRAX_16648,18.6,58.6,58.6,0.05,1406.68,2887.33,2107.48,2112.95,0.0265,6.75,1,TRUE,19053,77195,1.44,0,48,17,0,13,0,69,1645,3443,125,81,263,39432,188,218,156,137,92,114,844,166,2063,0,960,0,18,0,32,0,0,0,21649,4862,297,26511,4.452694364,0.224583122,3.78,3.24,85.71
Marion Island,PB1,PB1_1B,ACE_ITRAX_16649,18.7,58.7,58.7,0.05,1407.65,2892.36,2110.75,2116.73,0.0265,6.76,1,TRUE,19814,78937,1.46,0,20,28,0,30,0,76,1594,3479,77,95,220,40618,318,237,153,84,12,0,1047,0,1905,0,765,0,13,0,47,0,13,0,22497,4880,138,27377,4.610040984,0.216917811,3.78,3,79.37
Marion Island,PB1,PB1_1B,ACE_ITRAX_16650,18.8,58.8,58.8,0.05,1408.65,2898.49,2113.49,2120.52,0.0264,6.77,1,TRUE,19232,74996,1.53,18,31,16,19,37,6,68,1533,3440,87,90,205,37115,196,261,170,90,0,98,940,30,1680,0,983,0,0,0,29,12,0,0,22457,4858,31,27315,4.622684232,0.216324531,3.79,3.56,94.06
Marion Island,PB1,PB1_1B,ACE_ITRAX_16651,18.9,58.9,58.9,0.05,1410.63,2901.66,2117.85,2124.3,0.0265,6.78,1,TRUE,18879,72302,1.34,0,8,30,19,10,0,64,1501,3337,47,78,198,34150,248,158,194,100,89,70,1048,63,1810,0,1029,0,0,0,72,0,0,0,22553,4698,8,27251,4.800553427,0.208309316,3.78,2.58,68.12
Marion Island,PB1,PB1_1B,ACE_ITRAX_16652,19,59,59,0.05,1413.8,2904.29,2121.07,2128.08,0.0265,6.78,1,TRUE,18784,72862,1.41,0,8,25,0,16,0,46,1420,3291,111,30,178,35939,318,211,228,141,0,0,987,0,1508,0,908,0,0,0,33,37,45,5,22127,4645,68,26772,4.763616792,0.209924527,3.78,2.9,76.72
Marion Island,PB1,PB1_1B,ACE_ITRAX_16653,19.1,59.1,59.1,0.05,1416.58,2906.92,2124.32,2131.86,0.0265,6.79,1,TRUE,17925,71254,1.32,0,0,7,0,27,0,64,1454,3166,70,73,284,36802,280,146,135,57,0,7,928,42,1750,0,898,0,0,0,38,31,47,0,20195,4224,32,24419,4.781013258,0.209160683,3.78,2.71,71.56
Marion Island,PB1,PB1_1B,ACE_ITRAX_16654,19.2,59.2,59.2,0.05,1418.44,2910.83,2128.73,2135.65,0.0264,6.8,1,TRUE,18691,76377,1.51,0,24,17,0,15,0,68,1742,3185,23,53,247,40542,154,214,100,161,0,98,1000,0,2137,0,853,0,0,0,72,0,0,0,20567,4505,30,25072,4.565371809,0.21904021,3.79,2.88,76.12
Marion Island,PB1,PB1_1B,ACE_ITRAX_16655,19.3,59.3,59.3,0.05,1421.62,2913.03,2132.12,2139.43,0.0265,6.8,1,TRUE,19080,76605,1.4,7,32,25,0,20,28,23,1332,3230,62,69,213,39821,343,186,133,80,0,159,1126,0,2066,0,926,0,0,0,21,34,59,0,21469,4572,11,26041,4.69575678,0.212958219,3.78,2.69,71.16
Marion Island,PB1,PB1_1B,ACE_ITRAX_16656,19.4,59.4,59.4,0.05,1426.32,2915.23,2135.76,2143.21,0.0265,6.81,1,TRUE,19783,77100,1.4,0,48,0,0,39,9,58,1246,2975,85,53,170,38246,353,165,147,52,0,39,1163,93,1953,0,816,0,10,0,22,0,37,0,23696,5067,0,28763,4.676534439,0.213833558,3.78,3.45,91.27
Marion Island,PB1,PB1_1B,ACE_ITRAX_16657,19.5,59.5,59.5,0.05,1427.07,2917.56,2140.07,2146.99,0.0265,6.8,1,TRUE,20047,71194,1.3,37,23,0,0,0,5,39,997,2640,73,58,145,30455,181,188,179,45,0,50,1230,73,1790,0,1003,0,0,0,27,0,161,117,25848,5196,0,31044,4.974595843,0.201021356,3.78,1.54,40.74
Marion Island,PB1,PB1_1B,ACE_ITRAX_16658,19.6,59.6,59.6,0.05,1431.78,2920.46,2144.08,2150.78,0.0264,6.79,1,TRUE,20500,72573,1.41,0,16,0,0,43,0,34,1051,2611,47,65,191,31631,238,198,152,125,0,70,1293,21,1667,0,1031,0,0,0,39,16,0,0,26183,5096,49,31279,5.137951334,0.194630104,3.79,3.81,100.4
Marion Island,PB1,PB1_1B,ACE_ITRAX_16659,19.7,59.7,59.7,0.05,1434.07,2924.76,2148.46,2154.56,0.0265,6.78,1,TRUE,19555,69977,1.4,0,11,5,0,16,16,42,1150,3162,93,13,160,30686,106,151,146,76,0,115,1348,109,1643,0,857,0,0,0,14,0,47,0,24588,4859,177,29447,5.060300473,0.197616724,3.78,3.3,87.17
Marion Island,PB1,PB1_1B,ACE_ITRAX_16660,19.8,59.8,59.8,0.05,1439.05,2928.01,2152.76,2158.34,0.0265,6.79,1,TRUE,18410,67543,1.27,9,10,20,21,26,0,65,1282,3079,114,62,200,30469,130,139,208,109,0,180,1306,26,1584,0,994,0,32,0,31,24,47,0,22213,4546,22,26759,4.886273647,0.204654932,3.78,4.12,108.86
Marion Island,PB1,PB1_1B,ACE_ITRAX_16661,19.9,59.9,59.9,0.05,1442.21,2931.33,2155.5,2162.12,0.0265,6.79,1,TRUE,17474,64763,1.16,29,44,10,5,31,9,55,1190,3146,61,71,214,29470,174,176,141,90,0,0,1041,100,1732,0,823,0,13,0,68,71,142,0,20843,4351,0,25194,4.790393013,0.208751139,3.78,3.24,85.71
Marion Island,PB1,PB1_1B,ACE_ITRAX_16662,20,60,60,0.05,1443.95,2934.6,2157.79,2165.9,0.0265,6.78,1,TRUE,17631,69112,1.38,0,25,14,15,27,16,42,1346,3443,46,61,170,33639,349,265,182,162,0,33,933,8,2262,85,966,5,0,0,68,30,5,32,19679,4519,12,24198,4.354724497,0.229635652,3.78,2.51,66.27
Marion Island,PB1,PB1_1B,ACE_ITRAX_16663,20.1,60.1,60.1,0.05,1452.62,2937.83,2163.23,2169.57,0.0272,6.79,1,TRUE,17231,69302,1.42,6,17,28,0,19,5,74,1559,3557,82,61,200,34443,240,249,159,91,0,39,1022,16,2312,0,971,0,29,0,25,65,67,19,19083,4307,0,23390,4.430694219,0.225698265,3.67,5.95,162.13
Marion Island,PB1,PB1_1B,ACE_ITRAX_16664,20.2,60.2,60.2,0.05,1456.53,2941.25,2168.27,2173.24,0.0272,6.8,1,TRUE,16114,65644,1.37,0,23,23,13,26,19,65,1587,3408,6,74,191,33991,196,185,120,124,0,0,833,0,2059,0,773,0,0,0,53,55,0,85,17049,4125,84,21174,4.133090909,0.241949674,3.67,3.67,99.86
Marion Island,PB1,PB1_1B,ACE_ITRAX_16665,20.3,60.3,60.3,0.05,1460.23,2943.02,2172.01,2176.91,0.0272,6.78,1,TRUE,15213,66553,1.31,43,27,20,7,20,13,70,1878,3427,100,89,254,38643,166,200,148,60,34,38,604,121,2158,0,652,0,0,0,33,0,65,0,13608,3608,76,17216,3.771618625,0.265138154,3.67,2.74,74.52
Marion Island,PB1,PB1_1B,ACE_ITRAX_16666,20.4,60.4,60.4,0.05,1466.24,2944.51,2175.29,2180.57,0.0273,6.78,1,TRUE,15182,69953,1.3,24,27,19,0,0,14,88,2164,3561,83,82,329,41756,132,154,80,102,0,99,480,200,2292,0,677,0,0,0,35,88,134,0,13077,3751,22,16828,3.486270328,0.286839489,3.66,3.75,102.46
Marion Island,PB1,PB1_1B,ACE_ITRAX_16667,20.5,60.5,60.5,0.05,1472.14,2948.29,2179.79,2184.24,0.0272,6.78,1,TRUE,16128,77842,1.38,0,0,31,15,19,19,146,3339,4025,62,177,363,46925,302,171,125,71,0,4,559,49,2431,0,783,0,0,0,58,40,4,14,13626,3951,118,17577,3.448747153,0.28996037,3.67,4.84,131.88
Marion Island,PB1,PB1_1B,ACE_ITRAX_16668,20.6,60.6,60.6,0.05,1474.53,2952.94,2182.67,2187.91,0.0272,6.77,1,TRUE,15786,77639,1.33,15,21,31,0,32,0,153,2808,3783,106,50,364,48200,239,123,56,140,0,57,479,157,2427,10,642,0,0,0,67,78,106,56,13218,3737,0,16955,3.537061814,0.282720533,3.67,3.52,95.91
Marion Island,PB1,PB1_1B,ACE_ITRAX_16669,20.7,60.7,60.7,0.05,1480.82,2954.66,2186.37,2191.58,0.0272,6.76,1,TRUE,16190,80932,1.33,5,34,42,0,29,20,178,3088,3811,59,73,440,50577,188,151,76,173,0,0,380,97,2485,33,823,0,0,0,22,51,101,36,13502,3962,94,17464,3.407874811,0.293438009,3.67,4,109.13
Marion Island,PB1,PB1_1B,ACE_ITRAX_16670,20.8,60.8,60.8,0.05,1482.72,2956.81,2189.27,2195.24,0.0273,6.74,1,TRUE,16073,75406,1.4,7,45,23,0,14,0,124,2766,3856,31,67,303,44816,259,116,84,135,0,19,526,0,2213,0,874,0,0,0,8,41,0,0,14659,3957,79,18616,3.704574172,0.269936558,3.66,2.03,55.33
Marion Island,PB1,PB1_1B,ACE_ITRAX_16671,20.9,60.9,60.9,0.05,1485.68,2960.2,2193.94,2198.91,0.0272,6.72,1,TRUE,14433,64801,1.2,0,29,39,0,17,6,126,2195,3080,37,91,287,36957,299,138,91,158,0,0,532,0,2289,0,613,0,6,0,34,14,0,0,13591,3655,38,17246,3.718467852,0.268927967,3.67,3.17,86.51
Marion Island,PB1,PB1_1B,ACE_ITRAX_16672,21,61,61,0.05,1491.8,2962.76,2197.27,2202.58,0.0272,6.69,1,TRUE,14508,66462,1.53,0,7,26,7,20,7,152,2414,3312,30,81,306,37139,180,172,9,202,0,64,402,54,3057,0,743,0,25,0,98,0,109,0,13278,4047,0,17325,3.280948851,0.304789878,3.67,4.34,118.26
Marion Island,PB1,PB1_1B,ACE_ITRAX_16674,21.2,61.2,61.2,0.05,1500.87,2968.55,2204.9,2209.91,0.0273,6.6,1,TRUE,12616,64693,1.42,0,0,43,0,14,0,163,3167,3226,37,147,358,41403,177,131,60,166,44,27,265,0,1626,0,431,0,9,0,24,0,34,43,9567,3123,0,12690,3.063400576,0.326434619,7.33,7.43,101.36
Marion Island,PB1,PB1_1B,ACE_ITRAX_16675,21.3,61.3,61.3,0.05,1504.18,2975.18,2208.48,2213.58,0.0272,6.56,1,TRUE,14224,71571,1.41,0,18,55,12,22,0,182,3951,3460,89,181,401,44813,265,177,141,139,0,0,266,76,2094,0,557,0,0,0,41,0,0,0,10675,3504,41,14179,3.046518265,0.32824356,3.67,4.97,135.42
Marion Island,PB1,PB1_1B,ACE_ITRAX_16676,21.4,61.4,61.4,0.05,1510.14,2979.98,2212.18,2217.25,0.0272,6.55,1,TRUE,17784,97981,1.47,17,39,77,7,27,0,320,5527,4959,71,204,565,65969,209,182,115,163,0,46,217,78,2735,0,665,0,0,0,45,58,72,0,11437,3759,101,15196,3.042564512,0.328670106,3.67,5.38,146.59
Marion Island,PB1,PB1_1B,ACE_ITRAX_16677,21.5,61.5,61.5,0.05,1511.57,2984.99,2216.42,2220.92,0.0272,6.58,1,TRUE,16933,91691,1.52,0,25,58,10,11,0,301,5210,4596,85,161,624,60861,171,141,32,130,0,63,216,141,2771,0,521,0,0,0,40,54,0,0,11186,3864,98,15050,2.894927536,0.34543179,3.67,3.22,87.74
Marion Island,PB1,PB1_1B,ACE_ITRAX_16678,21.6,61.6,61.6,0.05,1514,2989.99,2218.75,2224.58,0.0273,6.62,1,TRUE,17338,93162,1.43,0,19,69,6,31,0,272,4705,4666,90,154,572,62083,197,178,68,149,35,39,248,148,2736,0,593,0,0,10,35,0,0,0,11806,3816,101,15622,3.093815514,0.323225479,3.66,3.72,101.5
Marion Island,PB1,PB1_1B,ACE_ITRAX_16679,21.7,61.7,61.7,0.05,1517.23,2993.22,2222.89,2228.25,0.0272,6.61,1,TRUE,14180,69823,1.44,0,37,48,0,21,10,185,2649,3781,48,85,305,42864,151,138,54,57,0,49,370,30,2371,0,613,0,0,5,34,8,0,0,12001,3551,76,15552,3.379611377,0.295892009,3.67,3.23,88.01
Marion Island,PB1,PB1_1B,ACE_ITRAX_16680,21.8,61.8,61.8,0.05,1520.46,2997.32,2226.79,2231.92,0.0272,6.6,1,TRUE,15745,74991,1.47,22,27,39,11,17,15,147,3000,3726,51,121,304,44836,162,133,7,81,0,37,598,80,2484,0,743,0,0,7,39,24,23,17,13982,3829,18,17811,3.651606163,0.273852096,3.67,3.67,99.86
Marion Island,PB1,PB1_1B,ACE_ITRAX_16681,21.9,61.9,61.9,0.05,1523.84,2999.43,2229.92,2235.59,0.0272,6.61,1,TRUE,17272,80759,1.4,9,12,42,20,0,0,192,3034,4010,53,67,303,47379,310,126,60,132,0,23,650,125,2414,0,867,0,14,0,46,40,18,0,16191,4187,29,20378,3.86696919,0.258600457,3.67,2.74,74.8
Marion Island,PB1,PB1_1B,ACE_ITRAX_16682,22,62,62,0.05,1526.2,3001.52,2233.29,2239.25,0.0273,6.61,1,TRUE,18473,82908,1.47,45,69,53,11,47,0,130,2874,3963,95,112,328,47079,265,119,108,176,0,32,846,0,2332,0,753,0,0,0,39,104,0,0,18414,4443,0,22857,4.144496962,0.241283806,3.66,2.23,60.79
Marion Island,PB1,PB1_1B,ACE_ITRAX_16683,22.1,62.1,62.1,0.05,1529.63,3003.7,2238.3,2242.92,0.0272,6.62,1,TRUE,18878,81779,1.33,24,24,25,7,12,14,84,2168,4095,137,75,242,44810,179,111,128,110,0,0,957,63,2286,0,862,0,0,0,20,121,77,16,20041,4521,0,24562,4.432868834,0.225587546,3.67,2.8,76.43
Marion Island,PB1,PB1_1B,ACE_ITRAX_16684,22.2,62.2,62.2,0.05,1531.93,3005.81,2243.36,2246.59,0.0272,6.63,1,TRUE,18812,81534,1.38,15,49,29,10,42,17,87,2158,4052,80,69,255,45681,182,180,142,145,0,103,1065,53,1958,0,821,0,0,0,38,29,79,23,19142,4393,127,23535,4.357386752,0.229495351,3.67,2.21,60.08
Marion Island,PB1,PB1_1B,ACE_ITRAX_16685,22.3,62.3,62.3,0.05,1536.72,3007.78,2246.47,2250.26,0.0272,6.64,1,TRUE,17381,80617,1.32,16,30,68,0,35,7,129,2718,4840,88,85,339,48481,204,174,100,170,0,52,774,0,2184,0,598,0,8,0,61,67,28,49,14893,3853,41,18746,3.865299766,0.258712147,3.67,3.38,92.1
Marion Island,PB1,PB1_1B,ACE_ITRAX_16686,22.4,62.4,62.4,0.05,1540.31,3012.44,2249.67,2253.92,0.0273,6.65,1,TRUE,17538,87110,1.39,0,37,34,0,24,13,200,3495,4779,80,80,390,54500,216,135,63,112,0,12,393,95,2896,0,812,0,14,0,55,57,15,53,14007,3996,107,18003,3.505255255,0.285285928,3.66,4.12,112.7
Marion Island,PB1,PB1_1B,ACE_ITRAX_16687,22.5,62.5,62.5,0.05,1543.64,3017.55,2253.76,2257.59,0.0272,6.67,1,TRUE,17570,87688,1.5,23,42,57,17,13,0,201,3754,5001,190,67,341,54783,82,82,156,151,24,9,472,28,2965,0,787,0,6,0,57,15,0,53,13783,4058,80,17841,3.396500739,0.294420663,3.67,4.22,114.99
Marion Island,PB1,PB1_1B,ACE_ITRAX_16688,22.6,62.6,62.6,0.05,1546.88,3019.52,2256.49,2261.26,0.0272,6.67,1,TRUE,17132,83909,1.41,5,15,40,14,27,11,150,3426,4928,7,128,386,50639,88,96,71,110,0,33,580,0,2871,0,762,0,0,0,8,134,90,0,14625,4198,0,18823,3.48380181,0.287042735,3.67,2.6,70.98
Marion Island,PB1,PB1_1B,ACE_ITRAX_16689,22.7,62.7,62.7,0.05,1551.22,3021.58,2260.41,2264.93,0.0272,6.68,1,TRUE,17536,86123,1.75,23,21,77,17,21,6,201,3519,5008,126,84,347,52611,0,157,109,190,0,91,480,99,2855,0,834,0,30,0,37,84,107,75,14550,3857,0,18407,3.772361939,0.265085911,3.67,3.2,87.19
Marion Island,PB1,PB1_1B,ACE_ITRAX_16690,22.8,62.8,62.8,0.05,1553.52,3025.82,2262.7,2268.59,0.0273,6.68,1,TRUE,17384,83955,1.4,13,37,56,0,27,14,154,2940,4926,100,77,287,50519,185,120,62,138,0,76,572,81,2622,0,893,0,27,0,53,87,24,75,15316,4017,73,19333,3.812795619,0.262274745,3.66,3.27,89.34
Marion Island,PB1,PB1_1B,ACE_ITRAX_16691,22.9,62.9,62.9,0.05,1556.85,3032.01,2267.06,2272.26,0.0272,6.68,1,TRUE,17532,83830,1.33,26,38,39,23,35,0,134,2807,5104,71,76,305,50531,247,86,90,136,0,40,516,51,2420,0,890,0,11,0,122,46,19,0,15394,4095,61,19489,3.759218559,0.266012732,3.67,4.76,129.7
Marion Island,PB1,PB1_1B,ACE_ITRAX_16692,23,63,63,0.05,1561.54,3036.25,2270.53,2275.93,0.0272,6.7,1,TRUE,17183,81036,1.45,19,54,54,13,20,16,112,2811,4522,83,75,294,46995,286,150,111,155,70,124,657,77,2621,0,821,0,7,0,19,0,53,15,16024,4263,67,20287,3.758855266,0.266038442,3.67,4.46,121.66
Marion Island,PB1,PB1_1B,ACE_ITRAX_16693,23.1,63.1,63.1,0.05,1564.58,3039.23,2275.21,2279.6,0.0272,6.71,1,TRUE,18847,90857,1.57,0,16,47,5,34,0,177,3244,5340,106,109,350,54098,293,188,193,181,0,47,603,54,3024,0,900,0,7,0,112,40,54,0,16640,4339,0,20979,3.83498502,0.260757212,3.67,3.01,82.02
Marion Island,PB1,PB1_1B,ACE_ITRAX_16694,23.2,63.2,63.2,0.05,1569.3,3042.17,2278.52,2283.26,0.0273,6.72,1,TRUE,17414,82049,1.36,16,50,68,0,0,0,138,3348,5095,92,115,338,47887,201,126,116,149,0,0,615,33,2533,0,776,0,0,0,34,8,26,0,15697,4092,59,19789,3.836021505,0.260686755,3.66,3.83,104.64
Marion Island,PB1,PB1_1B,ACE_ITRAX_16695,23.3,63.3,63.3,0.05,1573.91,3047.7,2283.32,2286.93,0.0272,6.73,1,TRUE,15970,74127,1.37,12,32,45,19,10,0,111,3555,4207,81,124,274,42078,155,116,116,104,0,155,616,25,2349,0,737,0,0,0,50,0,32,0,14618,4089,0,18707,3.574957202,0.279723628,3.67,5.07,138.15
Marion Island,PB1,PB1_1B,ACE_ITRAX_16696,23.4,63.4,63.4,0.05,1577.53,3052.72,2287.23,2290.6,0.0272,6.74,1,TRUE,16610,76655,1.34,41,21,60,16,22,16,126,2909,4368,53,75,259,44651,185,78,67,125,0,27,598,109,2405,0,753,0,24,0,74,51,0,0,15036,4080,61,19116,3.685294118,0.271348763,3.67,4.32,117.71
Marion Island,PB1,PB1_1B,ACE_ITRAX_16697,23.5,63.5,63.5,0.05,1580.57,3057.58,2291.54,2294.27,0.0272,6.75,1,TRUE,17072,81921,1.3,21,28,64,13,27,10,153,3389,4996,131,70,295,49017,243,139,135,102,0,80,546,125,2750,0,742,0,0,0,60,81,19,0,14314,3862,0,18176,3.706369757,0.269805785,3.67,3.95,107.63
Marion Island,PB1,PB1_1B,ACE_ITRAX_16698,23.6,63.6,63.6,0.05,1584.77,3064.73,2293.47,2297.93,0.0273,6.77,1,TRUE,16381,76942,1.35,0,18,50,16,14,15,122,3245,4714,140,100,316,44951,324,138,188,182,15,29,488,10,2537,0,731,0,0,0,43,0,49,0,13988,3965,10,17953,3.527868852,0.283457249,3.66,5.68,155.05
Marion Island,PB1,PB1_1B,ACE_ITRAX_16699,23.7,63.7,63.7,0.05,1587.35,3071.46,2296.51,2301.6,0.0272,6.79,1,TRUE,14701,68240,1.28,6,16,55,7,12,5,132,2929,3943,101,58,320,39017,236,67,95,142,76,57,459,33,2351,0,756,0,17,0,35,0,0,19,13079,3666,28,16745,3.567648663,0.280296659,3.67,4.65,126.84
Marion Island,PB1,PB1_1B,ACE_ITRAX_16700,23.8,63.8,63.8,0.05,1588.53,3073.51,2299.75,2305.27,0.0272,6.8,1,TRUE,15215,69471,1.45,0,0,19,0,8,13,72,2548,3932,11,52,216,39619,411,127,119,92,0,7,453,62,2491,0,874,0,0,0,89,92,17,0,13828,3687,34,17515,3.750474641,0.266632919,3.67,1.62,44.01
Marion Island,PB1,PB1_1B,ACE_ITRAX_16701,23.9,63.9,63.9,0.05,1594.91,3078.06,2303.32,2308.93,0.0273,6.79,1,TRUE,16484,77280,1.38,20,23,45,0,18,0,105,2922,4610,117,104,279,45429,238,135,112,142,0,35,614,22,2760,72,670,0,0,0,24,23,62,0,14394,3790,64,18184,3.797889182,0.263304155,3.66,5.46,149.32
Marion Island,PB1,PB1_1B,ACE_ITRAX_16702,24,64,64,0.05,1595.06,3081.83,2307.48,2312.6,0.0272,6.8,1,TRUE,16718,78917,1.37,9,56,57,0,10,8,108,3006,4611,103,78,315,46490,270,146,119,169,0,25,622,74,2717,0,834,0,0,0,46,7,54,13,14566,3863,0,18429,3.770644577,0.265206646,3.67,1.96,53.41
Marion Island,PB1,PB1_1B,ACE_ITRAX_16703,24.1,64.1,64.1,0.05,1596.25,3085.64,2311.44,2316.27,0.0272,6.82,1,TRUE,17228,82862,1.55,23,15,17,0,0,0,98,2979,4429,24,108,329,50662,312,145,137,148,11,77,473,190,2736,0,790,0,15,0,96,0,0,0,14591,4044,158,18635,3.608061325,0.277157152,3.67,2.5,68.12
Marion Island,PB1,PB1_1B,ACE_ITRAX_16704,24.2,64.2,64.2,0.05,1600.2,3091.41,2314.39,2319.94,0.0272,6.85,1,TRUE,16286,76410,1.5,13,16,36,23,0,11,107,3047,4478,93,97,361,44938,331,105,122,126,0,17,594,24,2637,0,777,0,0,0,69,52,62,63,13827,3867,19,17694,3.575640031,0.27967021,3.67,4.86,132.43
Marion Island,PB1,PB1_1B,ACE_ITRAX_16705,24.3,64.3,64.3,0.05,1603.93,3098.32,2318.78,2323.6,0.0273,6.87,1,TRUE,16535,80130,1.41,29,40,38,7,0,0,113,2851,4365,81,76,318,49634,257,115,96,165,0,61,567,91,2788,0,751,0,0,0,17,0,0,0,13388,3819,139,17207,3.505629746,0.285255453,3.66,5.32,145.36
Marion Island,PB1,PB1_1B,ACE_ITRAX_16706,24.4,64.4,64.4,0.05,1606.1,3103.55,2323.51,2327.27,0.0272,6.89,1,TRUE,15963,73752,1.29,61,47,36,4,15,6,105,2583,3789,82,69,332,44089,183,173,186,157,0,82,607,63,2375,0,773,0,0,0,69,37,20,24,13603,3657,81,17260,3.719715614,0.268837756,3.67,3.7,100.82
Marion Island,PB1,PB1_1B,ACE_ITRAX_16707,24.5,64.5,64.5,0.05,1608.18,3107.72,2326.75,2330.94,0.0272,6.91,1,TRUE,15212,69867,1.37,0,12,11,9,0,11,100,2426,3854,99,99,253,41373,384,151,155,117,0,53,485,71,2264,0,610,0,0,0,18,0,31,0,13064,3588,17,16652,3.641025641,0.274647887,3.67,3.12,85.15
Marion Island,PB1,PB1_1B,ACE_ITRAX_16708,24.6,64.6,64.6,0.05,1609.64,3108.8,2329.89,2334.61,0.0272,6.91,1,TRUE,15063,68193,1.36,0,17,31,14,14,10,97,2407,3501,66,95,291,39605,181,155,128,114,60,68,612,23,2253,0,656,0,8,0,42,0,16,0,13376,3835,9,17211,3.487874837,0.286707536,3.67,1.27,34.6
Marion Island,PB1,PB1_1B,ACE_ITRAX_16709,24.7,64.7,64.7,0.05,1610.92,3110.22,2333.72,2338.27,0.0273,6.91,1,TRUE,15558,71355,1.38,0,24,0,0,0,9,105,2525,3342,47,71,336,41618,276,154,137,145,6,22,442,101,2552,0,649,0,5,0,92,0,49,67,14278,3721,128,17999,3.837140554,0.26061073,3.66,1.35,36.89
Marion Island,PB1,PB1_1B,ACE_ITRAX_16710,24.8,64.8,64.8,0.05,1611.99,3117.15,2336.86,2341.94,0.0272,6.9,1,TRUE,15951,72156,1.42,0,10,0,0,13,0,76,2210,3535,31,112,261,41760,274,130,109,130,0,0,722,35,2485,0,835,0,19,0,86,56,82,0,14723,3924,69,18647,3.752038736,0.266521769,3.67,4,108.99
Marion Island,PB1,PB1_1B,ACE_ITRAX_16711,24.9,64.9,64.9,0.05,1615.22,3121.94,2340.61,2345.61,0.0272,6.91,1,TRUE,15586,70414,1.49,0,7,27,9,9,0,87,2390,3350,102,89,272,40599,275,138,130,43,0,0,423,90,2557,0,750,0,0,0,40,0,0,0,14601,3963,77,18564,3.684330053,0.271419766,3.67,4.01,109.26
Marion Island,PB1,PB1_1B,ACE_ITRAX_16712,25,65,65,0.05,1617.48,3126.22,2342,2349.28,0.0272,6.92,1,TRUE,15430,69317,1.45,10,33,12,0,16,8,95,2297,3633,29,114,270,39228,126,119,177,143,34,0,474,69,2484,0,732,0,0,0,0,0,86,0,14604,4016,25,18620,3.636454183,0.274993153,3.67,3.27,89.1
Marion Island,PB1,PB1_1B,ACE_ITRAX_16713,25.1,65.1,65.1,0.05,1621.61,3128.62,2346.12,2352.97,0.0271,6.91,1,TRUE,15290,66755,1.52,7,35,0,0,0,5,74,2070,3085,38,66,228,36934,100,115,151,105,0,0,614,0,2383,0,853,0,0,0,26,36,0,0,15221,4063,0,19284,3.746246616,0.266933841,3.69,3.26,88.48
Marion Island,PB1,PB1_1B,ACE_ITRAX_16714,25.2,65.2,65.2,0.05,1623.95,3130.94,2352.03,2356.67,0.027,6.92,1,TRUE,16028,71894,1.47,0,25,26,21,13,12,101,2169,3441,97,78,324,40354,168,119,119,142,0,72,627,52,2647,0,909,0,13,0,44,0,0,37,15755,4010,120,19765,3.928927681,0.254522374,3.7,2.33,62.97
Marion Island,PB1,PB1_1B,ACE_ITRAX_16715,25.3,65.3,65.3,0.05,1631.09,3133.22,2354.92,2360.37,0.027,6.92,1,TRUE,16608,75026,1.6,5,21,40,0,0,0,57,2286,3656,95,65,270,43734,118,122,72,132,0,80,650,30,2483,0,939,0,0,0,0,10,10,0,15653,3952,90,19605,3.960779352,0.252475564,3.7,4.71,127.3
Marion Island,PB1,PB1_1B,ACE_ITRAX_16716,25.4,65.4,65.4,0.05,1633.37,3135.56,2359.84,2364.06,0.0271,6.92,1,TRUE,16514,74052,1.41,0,14,17,0,19,6,75,2221,3679,90,162,260,42839,202,85,110,105,7,39,621,87,2308,0,728,0,0,0,30,33,0,41,15700,4018,203,19718,3.907416625,0.255923567,3.69,2.31,62.6
Marion Island,PB1,PB1_1B,ACE_ITRAX_16717,25.5,65.5,65.5,0.05,1637.15,3137.91,2363.89,2367.76,0.027,6.92,1,TRUE,16050,69438,1.3,0,0,15,11,7,0,57,1738,3125,116,71,220,39540,332,87,89,4,0,60,617,6,2219,0,731,0,16,0,54,0,0,0,15676,4133,47,19809,3.792886523,0.263651442,3.7,3.07,82.84
